approach_name,accuracy,f1,best_param
limpeza_simples_lem__Random_Forest__TFIDF,0.7286666666666667,0.8299206017551192,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stem__Random_Forest__TFIDF,0.736,0.8337531486146096,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem_stem__Random_Forest__TFIDF,0.7366666666666667,0.8342425514057911,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords__Random_Forest__TFIDF,0.7346666666666667,0.8312128922815945,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples_stopwords_lem__Random_Forest__TFIDF,0.7426666666666667,0.8353242320819112,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples_stopwords_stem__Random_Forest__TFIDF,0.7433333333333333,0.835820895522388,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem_stem__Random_Forest__TFIDF,0.754,0.8419700214132763,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.2}"
limpeza_simples__Logistic_Regression__TFIDF,0.7826666666666666,0.8575174825174826,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem__Logistic_Regression__TFIDF,0.7793333333333333,0.8556476232010466,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stem__Logistic_Regression__TFIDF,0.7913333333333333,0.862538427755819,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem_stem__Logistic_Regression__TFIDF,0.784,0.8580192813321648,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords__Logistic_Regression__TFIDF,0.7253333333333334,0.8283333333333333,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem__Logistic_Regression__TFIDF,0.7393333333333333,0.8352296670880742,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_stem__Logistic_Regression__TFIDF,0.7393333333333333,0.8352296670880742,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem_stem__Logistic_Regression__TFIDF,0.744,0.8377007607776837,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples__Bayes__BOW,0.8206666666666667,0.8782254413761884,"{'vect__ngram_range': (1, 3), 'vect__max_df': 0.2}"
limpeza_simples_lem__Bayes__BOW,0.844,0.8906542056074767,"{'vect__ngram_range': (1, 2), 'vect__max_df': 0.2}"
limpeza_simples_stem__Bayes__BOW,0.8453333333333334,0.8910798122065728,"{'vect__ngram_range': (1, 2), 'vect__max_df': 0.2}"
limpeza_simples_lem_stem__Bayes__BOW,0.8466666666666667,0.8924228250701589,"{'vect__ngram_range': (1, 2), 'vect__max_df': 0.2}"
limpeza_simples_stopwords__Bayes__BOW,0.8286666666666667,0.8818390804597701,"{'vect__ngram_range': (1, 2), 'vect__max_df': 0.2}"
limpeza_simples_stopwords_lem__Bayes__BOW,0.8233333333333334,0.8797094870630957,"{'vect__ngram_range': (1, 3), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_stem__Bayes__BOW,0.8246666666666667,0.8808337109198006,"{'vect__ngram_range': (1, 3), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem_stem__Bayes__BOW,0.8246666666666667,0.8808337109198006,"{'vect__ngram_range': (1, 3), 'vect__max_df': 0.9}"
limpeza_simples__KNN__BOW,0.6993333333333334,0.8073472874839812,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem__KNN__BOW,0.7113333333333334,0.81471972614463,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stem__KNN__BOW,0.704,0.8102564102564103,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem_stem__KNN__BOW,0.7133333333333334,0.8157669237360754,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords__KNN__BOW,0.6933333333333334,0.8116298116298116,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem__KNN__BOW,0.6926666666666667,0.8108329913828477,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_stem__KNN__BOW,0.6786666666666666,0.8053311793214863,"{'vect__ngram_range': (1, 2), 'vect__max_df': 0.2}"
limpeza_simples_stopwords_lem_stem__KNN__BOW,0.6786666666666666,0.8051738075990299,"{'vect__ngram_range': (1, 2), 'vect__max_df': 0.2}"
limpeza_simples__SVM_Linear__BOW,0.81,0.8665105386416861,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem__SVM_Linear__BOW,0.7993333333333333,0.8586190699859088,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stem__SVM_Linear__BOW,0.8066666666666666,0.8633364750235628,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem_stem__SVM_Linear__BOW,0.794,0.858839652809502,"{'vect__ngram_range': (1, 2), 'vect__max_df': 0.2}"
limpeza_simples_stopwords__SVM_Linear__BOW,0.7946666666666666,0.8594890510948906,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem__SVM_Linear__BOW,0.7913333333333333,0.8598298253470669,"{'vect__ngram_range': (1, 2), 'vect__max_df': 0.2}"
limpeza_simples_stopwords_stem__SVM_Linear__BOW,0.802,0.8626907073509016,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_stopwords_lem_stem__SVM_Linear__BOW,0.7833333333333333,0.8543254146122816,"{'vect__ngram_range': (1, 3), 'vect__max_df': 0.9}"
limpeza_simples__SVM_RBF__BOW,0.6813333333333333,0.8067906224737267,"{'vect__ngram_range': (1, 1), 'vect__max_df': 0.9}"
limpeza_simples_lem__SVM_RBF__BOW,0.6746666666666666,0.8037007240547064,"{'vect__ngram_range': (1, 3), 'vect__max_df': 0.9}"
